lga_code,state,lga_name,median_income,earners,income_group,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,solar_n,solar_kw,battery_n,battery_kwh,chg_sites,chg_fast,chg_points
54480,WA,Kent,54818,351,1,495,262,591,601,657,672,694,0,0,3,0,0,64,529.4,1,46.8,0,0,0
54550,WA,Kojonup,54747,1529,1,1889,1045,2310.2,2309.6,2333.7,2337.1,2363.3,3,3,3,3,3,304.6,2167.8,3.8,82.2,2,2,7
54620,WA,Kondinin,60670,618,2,841,470,1016.6,997.7,1009.1,1021,1019.3,0,0,0,0,3,130.9,1011.1,2,63.8,1,1,1
54690,WA,Koorda,56347,263,1,368,254,459,469,481,498,505,0,0,0,0,3,80,499.9,2,38.4,0,0,0
54760,WA,Kulin,67206,556,5,773,382,985.5,994,982.3,1032.7,1048.4,0,0,0,0,0.3,169.6,1000.2,6,213.1,0,0,0
54830,WA,Kwinana,64337,31236,4,45800,17640,30621,31858,33150,35001,37025,9,44,80,191,332,12386,68754,1363,29241.9,0,0,0
54900,WA,Lake Grace,66444,1063,5,1267,739,1671.3,1681.4,1692.9,1789.9,1814.2,0,0,0,0,2.7,225.7,1561.9,2.9,33.7,1,0,1
54970,WA,Laverton,53666,245,1,1330,393,321,290,300,280,272,0,0,0,3,0,33,488.6,0,0,0,0,0
55040,WA,Leonora,80200,678,5,1592,831,802,766,787,827,785,0,0,0,0,0,263,932.9,0,0,0,0,0
55110,WA,Mandurah,55783,58295,1,90314,44077,68710,70844,73028,75398,78659,26,72,130,287,508,28114,140209.3,2220,43149.8,2,0,3
55180,WA,Manjimup,43920,6740,1,9089,4989,8647.5,8876.6,9046.9,9227.7,9390.8,3,3,6.8,13.8,18,1526.7,11150.8,86.8,2015.9,5,2,14
55250,WA,Meekatharra,48269,464,1,1200,623,626,583,574,572,546,0,0,0,0,0,94,630.2,2,135.4,1,1,2
55320,WA,Melville,64851,75736,4,103570,42933,78707.6,80069.9,80410.1,83102,85583.6,88,232.7,514.3,1195.9,1856.2,21576.9,125979,2735,61775.5,2,0,3
55390,WA,Menzies,65400,74,5,517,224,143.6,138,139.6,155.6,142.8,0,0,0,0,0,18,233.2,1.3,36.9,0,0,0
55460,WA,Merredin,59002,2114,2,3136,1642,2905.8,2852.4,2849.3,2867.7,2923,3,3,0,10,11,638,3852.9,8.8,147.6,2,0,4
55530,WA,Mingenew,73239,320,5,408,265,651,667,710,703,688,0,0,0,0,0,126,982.7,1,13,0,0,0
55600,WA,Moora,55636,1671,1,2284,1157,2440.7,2475.9,2558.9,2577.6,2571.1,0,0,2.9,0,3.9,445.7,2942,14.7,320,0,0,0
55670,WA,Morawa,59751,416,2,668,322,629.1,624.4,635,646.6,656.6,0,0,0,0,0,141.5,921.1,1,22.4,0,0,0
55740,WA,Mosman Park,68340,6913,5,9179,4135,6478,6702,6793,6975,7052,11,41,81,142,188,1350,8887.4,171,3765.8,0,0,0
55810,WA,Mount Magnet,39426,318,1,659,400,498,473,500,496,463,0,0,0,0,0,80,652.8,0,0,0,0,0
55880,WA,Mount Marshall,64050,319,3,452,318,550.4,533.6,568.9,576.5,588.5,0,0,0,0,0,99.8,760.4,4,124,0,0,0
55950,WA,Mukinbudin,65105,395,4,592,348,683.9,685.6,701,680.7,695.5,0,0,0,3,0,134.9,893.8,6.9,170.4,0,0,0
56090,WA,Mundaring,63810,26256,3,39129,15022,33192.2,33848.2,34488.4,35348.4,36434.5,20.8,60,122.3,239.6,402.7,9274.5,52448.7,840.4,18059.6,0,0,0
56160,WA,Murchison,72795,23,5,104,80,74.8,73.8,75.3,76.8,74.6,0,0,0,0.8,0,21.1,175.6,1.2,28,0,0,0
56230,WA,Murray,56600,11917,1,18026,8197,15891.7,16486.6,17091.4,17997.3,18935.9,3,6,14.8,43,86,6618.4,36695,614.3,12684.7,1,0,1
56300,WA,Nannup,38535,1021,1,1562,988,1537,1561.4,1617,1659.4,1726,2.9,2.9,4.1,5.1,6.9,456.7,2746.4,28.8,715.3,2,1,2
56370,WA,Narembeen,62641,558,2,789,404,857.8,842.8,872.8,892.8,915.3,0,0,0,0,0,180.6,1339.5,2,95.2,0,0,0
56460,WA,Narrogin,54873,3095,1,4742,2378,4105.9,4163.7,4170.6,4290,4433.5,0,0,3,3,3,879.6,5259.3,48.8,1196.5,0,0,0
56580,WA,Nedlands,78340,16505,5,22113,8382,15132.8,15311.5,15537.7,15850.4,16220.2,56.9,124.3,225.5,413.1,601.8,3109.7,21063.6,433.6,10069.6,0,0,0
56620,WA,Ngaanyatjarraku,18936,177,1,1363,610,210.3,192.9,183,186.5,184.2,0,0,0,0,0,29.3,364.1,1.9,85.8,0,0,0
56730,WA,Northam,58067,6849,2,11344,5194,9548.1,9851,10108.3,10317.4,10765.8,2.9,10.9,16.8,25.7,42.6,2678,15903.2,162.3,3509.1,0,0,0
56790,WA,Northampton,48985,2017,1,3223,2389,3034.3,3090.4,3067,3128.2,3242.4,0,0,3,3.2,3.3,904.6,5714.9,41.2,837.4,1,1,2
56860,WA,Nungarin,60596,134,2,246,125,241,242,242,254,254,0,0,0,0,0,46,278.2,0,0,0,0,0
